Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,70.940002,70.949997,70.180000,70.379997,69.635094,468800
2019-11-18,70.349998,70.349998,69.709999,70.059998,69.664925,432400
2019-11-19,70.129997,70.459999,69.500000,70.070000,69.674873,561300
2019-11-20,69.430000,69.540001,67.940002,68.440002,68.054062,789000
2019-11-21,68.449997,68.849998,67.959999,68.000000,67.616547,688300
2019-11-22,68.300003,68.830002,68.080002,68.760002,68.372261,613100
2019-11-25,68.800003,69.300003,68.680000,68.790001,68.402092,493200
2019-11-26,68.709999,69.489998,68.610001,69.440002,69.048424,564100
2019-11-27,69.500000,69.779999,68.739998,69.169998,68.779945,635300
2019-11-29,69.209999,69.730003,68.860001,69.010002,68.620850,270600
2019-12-02,69.169998,69.699997,68.059998,68.110001,67.725922,904700
2019-12-03,67.489998,67.489998,66.580002,66.610001,66.234383,1078100
2019-12-04,66.830002,68.000000,66.750000,66.919998,66.542633,776200
2019-12-05,67.050003,67.639999,67.050003,67.290001,66.910545,560800
2019-12-06,67.870003,68.470001,67.370003,68.320000,67.934738,834800
2019-12-09,68.029999,68.239998,67.860001,67.989998,67.606598,860100
2019-12-10,67.309998,67.980003,66.849998,67.239998,66.860825,744700
2019-12-11,67.330002,67.570000,66.599998,66.739998,66.363647,854000
2019-12-12,67.419998,68.470001,67.169998,67.690002,67.308296,1553800
2019-12-13,67.440002,67.660004,66.290001,67.410004,67.029877,1120700
2019-12-16,67.809998,69.139999,67.809998,69.000000,68.610901,1220300
2019-12-17,68.940002,70.250000,68.730003,70.059998,69.664925,1545300
2019-12-18,70.410004,70.410004,68.540001,69.029999,68.640732,1807200
2019-12-19,69.010002,69.279999,68.660004,69.199997,68.809776,1106000
2019-12-20,69.620003,69.620003,69.000000,69.339996,68.948982,1401900
2019-12-23,69.629997,69.629997,68.930000,69.290001,68.899269,1099200
2019-12-24,69.580002,69.580002,68.779999,69.089996,68.700394,360800
2019-12-26,69.180000,69.589996,68.750000,69.070000,68.680511,519600
2019-12-27,69.239998,69.300003,68.120003,68.290001,67.904907,1011800
2019-12-30,68.169998,68.300003,67.330002,67.680000,67.298347,861800
2019-12-31,67.559998,68.160004,67.559998,67.750000,67.367950,735300
2020-01-02,68.150002,68.790001,67.620003,68.169998,67.785583,1396600
2020-01-03,66.800003,67.110001,66.019997,66.919998,66.542633,1404600
2020-01-06,66.089996,66.889999,66.019997,66.599998,66.224434,1342700
2020-01-07,66.559998,66.820000,66.059998,66.180000,65.806808,1041500
2020-01-08,66.029999,67.589996,66.019997,66.500000,66.125000,1438500
2020-01-09,67.019997,67.019997,66.199997,66.370003,65.995735,1140400
2020-01-10,66.599998,66.699997,65.820000,65.889999,65.518440,1007600
2020-01-13,65.839996,66.190002,65.639999,65.870003,65.498558,629500
2020-01-14,66.760002,67.449997,66.019997,66.180000,65.806808,994700
2020-01-15,66.010002,67.059998,65.959999,66.589996,66.214493,782300
2020-01-16,67.000000,67.430000,65.849998,66.540001,66.164780,966200
2020-01-17,66.839996,67.110001,66.040001,66.620003,66.244324,943900
2020-01-21,66.040001,66.419998,64.180000,64.989998,64.623512,1636300
2020-01-22,65.440002,66.279999,65.300003,65.589996,65.220131,1398000
2020-01-23,65.000000,67.300003,64.440002,67.180000,66.801170,1409800
2020-01-24,67.279999,67.360001,65.589996,66.720001,66.343765,1127200
2020-01-27,64.879997,65.620003,64.199997,65.339996,64.971542,1778300
2020-01-28,65.870003,66.639999,65.129997,65.540001,65.170418,2214700
2020-01-29,65.750000,67.480003,65.580002,66.889999,66.512802,2466200
2020-01-30,65.870003,66.070000,65.029999,66.010002,65.637764,2127200
2020-01-31,65.610001,65.620003,64.169998,64.589996,64.225769,1581600
2020-02-03,65.129997,65.660004,64.300003,64.650002,64.285439,1696900
2020-02-04,65.589996,66.400002,65.430000,65.769997,65.399117,1513900
2020-02-05,66.709999,66.800003,65.940002,66.330002,65.955963,1332200
2020-02-06,66.839996,66.839996,63.840000,64.019997,63.658981,1531100
2020-02-07,63.900002,64.209999,63.279999,63.959999,63.599323,1338900
2020-02-10,63.540001,64.480003,63.439999,64.430000,64.066673,812900
2020-02-11,64.470001,65.279999,64.430000,64.550003,64.185997,788300
2020-02-12,65.099998,66.150002,64.809998,65.540001,65.170418,932600
2020-02-13,65.169998,66.769997,65.139999,66.500000,66.125000,1538600
2020-02-14,66.320000,66.959999,65.459999,66.110001,66.110001,1006300
2020-02-18,65.940002,66.309998,65.400002,65.489998,65.489998,1265900
2020-02-19,65.610001,65.809998,64.760002,65.169998,65.169998,863800
2020-02-20,64.900002,65.970001,64.900002,65.360001,65.360001,786900
2020-02-21,64.910004,65.529999,63.950001,65.430000,65.430000,926500
2020-02-24,63.480000,63.830002,62.200001,63.009998,63.009998,1285400
2020-02-25,63.169998,63.209999,58.660000,58.810001,58.810001,1685800
2020-02-26,59.369999,59.660000,57.200001,57.369999,57.369999,1813900
2020-02-27,54.790001,56.680000,52.910000,52.959999,52.959999,2704600
2020-02-28,51.090000,52.009998,49.450001,50.459999,50.459999,3535300
2020-03-02,50.849998,51.299999,48.380001,50.029999,50.029999,3075000
2020-03-03,50.470001,50.470001,46.299999,47.369999,47.369999,3415200
2020-03-04,48.189999,49.709999,46.570000,49.689999,49.689999,3480600
2020-03-05,47.660000,47.660000,43.360001,43.459999,43.459999,3859200
2020-03-06,41.500000,48.400002,41.400002,45.209999,45.209999,5041700
2020-03-09,43.160000,45.189999,42.139999,43.189999,43.189999,3413800
2020-03-10,45.310001,47.689999,43.369999,46.779999,46.779999,3140000
2020-03-11,45.099998,46.040001,43.369999,45.700001,45.700001,3184800
2020-03-12,40.110001,43.400002,35.009998,35.080002,35.080002,4731500
2020-03-13,38.099998,38.099998,33.000000,37.950001,37.950001,3947800
2020-03-16,32.020000,34.400002,28.920000,32.529999,32.529999,4456900
2020-03-17,33.060001,36.200001,31.280001,32.529999,32.529999,3707600
2020-03-18,29.530001,30.040001,20.020000,25.129999,25.129999,5067400
2020-03-19,24.700001,25.990000,22.010000,24.180000,24.180000,2901100
2020-03-20,25.709999,27.969999,23.340000,23.559999,23.559999,4062500
2020-03-23,24.000000,24.980000,22.150000,24.030001,24.030001,3694600
2020-03-24,29.440001,31.260000,27.379999,28.910000,28.910000,4750600
2020-03-25,33.560001,34.250000,28.360001,29.840000,29.840000,7739400
2020-03-26,31.910000,33.369999,30.020000,32.490002,32.490002,4914800
2020-03-27,31.730000,31.900000,29.780001,29.870001,29.870001,3546900
2020-03-30,29.129999,29.950001,26.549999,28.330000,28.330000,2841700
2020-03-31,28.959999,30.709999,28.129999,28.469999,28.469999,2667000
2020-04-01,26.920000,27.549999,25.250000,26.350000,26.350000,3350000
2020-04-02,26.139999,27.020000,24.280001,24.660000,24.660000,3065200
2020-04-03,25.160000,25.650000,23.580000,24.690001,24.690001,2707500
2020-04-06,26.040001,27.270000,24.920000,26.670000,26.670000,3724700
2020-04-07,29.340000,31.770000,28.540001,29.030001,29.030001,3766500
2020-04-08,30.200001,30.320000,28.950001,29.139999,29.139999,2940100
2020-04-09,31.240000,33.599998,30.389999,31.610001,31.610001,4210900
2020-04-13,32.630001,32.860001,28.610001,29.510000,29.510000,3181800
2020-04-14,30.580000,31.920000,30.420000,31.049999,31.049999,2754100
