Date,Open,High,Low,Close,Adj Close,Volume
2019-11-15,37.939999,38.709999,37.779999,38.230000,38.230000,1012100
2019-11-18,38.139999,38.230000,37.389999,37.910000,37.910000,607000
2019-11-19,38.110001,38.910000,37.830002,38.820000,38.820000,796300
2019-11-20,38.430000,38.900002,38.029999,38.130001,38.130001,824300
2019-11-21,38.150002,38.610001,37.610001,37.669998,37.669998,508800
2019-11-22,37.840000,38.540001,37.669998,38.470001,38.470001,625500
2019-11-25,38.720001,40.169998,38.540001,39.919998,39.919998,1162400
2019-11-26,39.849998,39.970001,39.070000,39.099998,39.099998,903400
2019-11-27,39.270000,39.750000,38.889999,39.189999,39.189999,754600
2019-11-29,39.110001,39.470001,38.959999,39.070000,39.070000,208900
2019-12-02,39.930000,40.900002,39.439999,39.590000,39.590000,1020000
2019-12-03,38.750000,39.099998,37.560001,38.020000,38.020000,1873100
2019-12-04,38.169998,38.730000,38.029999,38.189999,38.189999,1148100
2019-12-05,38.500000,38.500000,37.689999,38.070000,38.070000,824900
2019-12-06,38.459999,39.330002,38.459999,39.209999,39.209999,864600
2019-12-09,39.020000,39.119999,38.410000,38.490002,38.490002,775800
2019-12-10,38.000000,38.750000,37.630001,38.220001,38.220001,1127600
2019-12-11,38.180000,38.320000,37.770000,37.970001,37.970001,591500
2019-12-12,38.340000,39.380001,38.189999,38.360001,38.360001,732700
2019-12-13,38.299999,38.730000,38.040001,38.240002,38.240002,919400
2019-12-16,39.000000,39.950001,38.759998,39.169998,39.169998,974500
2019-12-17,38.970001,41.020000,38.900002,40.959999,40.959999,2491700
2019-12-18,41.139999,41.209999,40.080002,40.419998,40.419998,1006000
2019-12-19,40.310001,41.450001,39.759998,41.290001,41.290001,1996200
2019-12-20,41.419998,41.689999,41.020000,41.369999,41.369999,1445000
2019-12-23,41.450001,41.790001,41.020000,41.029999,41.029999,969700
2019-12-24,41.220001,41.470001,40.779999,41.189999,41.189999,300200
2019-12-26,41.230000,41.570000,41.009998,41.220001,41.220001,639300
2019-12-27,41.270000,41.360001,40.130001,40.580002,40.580002,1070000
